V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,RELATED_CVD,INIT_GP,P_GP,P_AD_DUTY,F_GP,F_AD_DUTY,REVIEW_INIT_GP,CHINA_OFFICIAL_CASE_ID,
Q4_2012,China,CHN-AD-25,CHN-AD-25,South Korea,KOR,Esters of Acrylic Acid ,08/03/2001,10/22/2002,10/22/2002,A,A,10/22/2002,AVD,01/04/2003,01/04/2003,A,A,01/04/2003,AVD,04/09/2009,2009,AVD,2.00,20.00,G/ADP/N/105/CHN,.,Public Notice No.15/2001,Public Notice No.47/2002,11-20,Public Notice No.03/2003,2-20,Public Notice No.18/2009,0011AC2620011010,
Q4_2012,China,CHN-AD-26,CHN-AD-25,Malaysia,MYS,Esters of Acrylic Acid ,08/03/2001,10/22/2002,10/22/2002,A,A,10/22/2002,AVD,01/05/2003,01/05/2003,A,A,01/05/2003,AVD,IF,IF,AVD,4.00,38.00,G/ADP/N/105/CHN,.,Public Notice No.15/2001,Public Notice No.47/2002,12-38,Public Notice No.03/2003,4-38,Public Notice No.18/2009,0011AC2620011010,
Q4_2012,China,CHN-AD-27,CHN-AD-25,Singapore,SGP,Esters of Acrylic Acid ,08/03/2001,10/22/2002,10/22/2002,A,A,10/22/2002,AVD,01/06/2003,01/06/2003,A,A,01/06/2003,AVD,IF,IF,AVD,30.00,49.00,G/ADP/N/105/CHN,.,Public Notice No.15/2001,Public Notice No.47/2002,46-49,Public Notice No.03/2003,30-49,Public Notice No.18/2009,0011AC2620011010,
Q4_2012,China,CHN-AD-28,CHN-AD-25,Indonesia,IDN,Esters of Acrylic Acid ,10/10/2001,12/05/2002,12/05/2002,A,A,12/05/2002,AVD,04/10/2003,04/10/2003,A,A,04/10/2003,AVD,IF,IF,AVD,11.00,24.00,G/ADP/N/105/CHN,.,Public Notice No.15/2001,Public Notice No.47/2002,11-24,Public Notice No.03/2003,11-24,Public Notice No.18/2009,0011AC2620011010,
Q4_2012,China,CHN-AD-29,CHN-AD-29,Belgium,BEL,Hexanelactam (Epsilon-Caprolactam),12/07/2001,12/07/2001,12/07/2001,A,A,12/07/2001,AVD,06/06/2003,06/06/2003,A,A,06/06/2003,AVD,06/06/2008,2008,AVD,6.00,16.00,G/ADP/N/105/CHN,.,Public Notice No.21/2001      ,Public Notice No.56/2002,6-16,Public Notice No.22/2003      ,6-16,.,0012AC2620011207,
Q4_2012,China,CHN-AD-30,CHN-AD-29,Germany,DEU,Hexanelactam (Epsilon-Caprolactam),12/07/2001,12/07/2001,12/07/2001,A,A,12/07/2001,AVD,06/06/2003,06/06/2003,A,A,06/06/2003,AVD,06/06/2008,2008,AVD,22.00,28.00,G/ADP/N/105/CHN,.,Public Notice No.21/2001      ,Public Notice No.56/2002,28-38,Public Notice No.22/2003      ,22-38,.,0012AC2620011207,
Q4_2012,China,CHN-AD-31,CHN-AD-29,Russia,RUS,Hexanelactam (Epsilon-Caprolactam),12/07/2001,12/07/2001,12/07/2001,A,A,12/07/2001,AVD,06/06/2003,06/06/2003,A,A,06/06/2003,AVD,06/06/2008,2008,AVD,7.00,16.00,G/ADP/N/105/CHN,.,Public Notice No.21/2001      ,Public Notice No.56/2002,6-29,Public Notice No.22/2003      ,7-16,.,0012AC2620011207,
Q4_2012,China,CHN-AD-32,CHN-AD-29,Netherlands,NLD,Hexanelactam (Epsilon-Caprolactam),12/07/2001,12/07/2001,12/07/2001,A,A,12/07/2001,AVD,06/06/2003,06/06/2003,A,A,06/06/2003,AVD,06/06/2008,2008,AVD,6.00,18.00,G/ADP/N/105/CHN,.,Public Notice No.21/2001      ,Public Notice No.56/2002,9-18,Public Notice No.22/2003      ,6-18,.,0012AC2620011207,
Q4_2012,China,CHN-AD-33,CHN-AD-29,Japan,JPN,Hexanelactam (Epsilon-Caprolactam),12/07/2001,12/07/2001,12/07/2001,A,A,12/07/2001,AVD,06/06/2003,06/06/2003,A,A,06/06/2003,AVD,06/06/2008,2008,AVD,5.00,18.00,G/ADP/N/105/CHN,.,Public Notice No.21/2001      ,Public Notice No.56/2002,5-21,Public Notice No.22/2003      ,5-18,.,0012AC2620011207,
Q4_2012,China,CHN-AD-34,CHN-AD-34,South Korea,KOR,Paper and Paperboard of a kind used for Writing ,02/06/2002,11/26/2002,11/26/2002,A,A,11/26/2002,AVD,08/06/2003,08/06/2003,A,A,08/06/2003,AVD,IF,IF,AVD,4.00,51.00,G/ADP/N/112/CHN,.,Public Notice No.04/2002,Public Notice No.45/2002,5.58-51.09,Public Notice No.35/2003,4-51,.,0013AC2220020206,
Q4_2012,China,CHN-AD-35,CHN-AD-34,Japan,JPN,Paper and Paperboard of a kind used for Writing ,02/06/2002,11/26/2002,11/26/2002,A,A,11/26/2002,AVD,08/06/2003,08/06/2003,A,A,08/06/2003,AVD,IF,IF,AVD,9.00,71.00,G/ADP/N/112/CHN,.,Public Notice No.04/2002,Public Notice No.45/2002,23.89-71.02,Public Notice No.35/2003,9-71,.,0013AC2220020206,
Q4_2012,China,CHN-AD-36,CHN-AD-34,Finland,FIN,Paper and Paperboard of a kind used for Writing ,02/06/2002,11/26/2002,11/26/2002,T,T,.,.,08/06/2003,08/06/2003,T,T,.,.,.,.,.,.,.,.,.,Public Notice No.04/2002,Public Notice No.45/2002,MI,Public Notice No.35/2003,.,.,0013AC2220020206,
Q4_2012,China,CHN-AD-37,CHN-AD-34,USA,USA,Paper and Paperboard of a kind used for Writing ,02/06/2002,11/26/2002,11/26/2002,A,A,11/26/2002,AVD,08/06/2003,08/06/2003,T,T,.,.,.,.,.,.,.,.,.,Public Notice No.04/2002,Public Notice No.45/2002,29.65-63.45,Public Notice No.35/2003,.,.,0013AC2220020206,
Q4_2012,China,CHN-AD-38,CHN-AD-38,European Union,EUN,Catechol,03/01/2002,11/04/2002,11/04/2002,A,A,11/04/2002,AVD,08/27/2003,08/27/2003,A,A,08/27/2003,AVD,IF,IF,AVD,20.00,79.00,G/ADP/N/112/CHN,.,Public Notice No.05/2002,Public Notice No.43/2002,50-92,Public Notice No.41/2003,20-79,Public Notice No.53/2009,0014AC2620020301 ,
Q4_2012,China,CHN-AD-39,CHN-AD-39,Japan,JPN,Phthalic Anhydride ,03/06/2002,01/08/2003,01/08/2003,A,A,01/08/2003,AVD,09/03/2003,09/03/2003,A,A,09/03/2003,AVD,IF,IF,AVD,66.00,66.00,G/ADP/N/112/CHN,.,Public Notice No.11/2002,Public Notice No.65/2002,66-66,Public Notice No.13/2001,66-66,Public Notice No.53/2008,0015AC2620020306 ,
Q4_2012,China,CHN-AD-40,CHN-AD-39,India,IND,Phthalic Anhydride ,03/06/2002,01/08/2003,01/08/2003,A,A,01/08/2003,AVD,09/03/2003,09/03/2003,A,A,09/03/2003,AVD,IF,IF,AVD,13.00,13.00,G/ADP/N/112/CHN,.,Public Notice No.04/2002,Public Notice No.65/2002,33-33,Public Notice No.40/2003,13-13,Public Notice No.53/2008,0015AC2620020306 ,
Q4_2012,China,CHN-AD-41,CHN-AD-39,South Korea,KOR,Phthalic Anhydride ,03/06/2002,01/08/2003,01/08/2003,A,A,01/08/2003,AVD,09/03/2003,09/03/2003,A,A,09/03/2003,AVD,IF,IF,AVD,1.40,13.00,G/ADP/N/112/CHN,.,Public Notice No.04/2002,Public Notice No.65/2002,14-33,Public Notice No.40/2003,0-13,Public Notice No.53/2008,0015AC2620020306 ,
Q4_2012,China,CHN-AD-42,CHN-AD-42,South Korea,KOR,Styrene Butadine Rubber (SBR),03/20/2002,04/16/2003,04/16/2003,A,A,04/16/2003,AVD,09/09/2003,09/09/2003,A,A,09/09/2003,AVD,IF,IF,AVD,7.00,27.00,G/ADP/N/112/CHN,.,Public Notice No.14/2002,Public Notice No.08/2003,10-27,Public Notice No.49/2003,7-27,Public Notice No.86/2004,0016AC2620020315 ,
Q4_2012,China,CHN-AD-43,CHN-AD-42,Japan,JPN,Styrene Butadine Rubber (SBR),03/20/2002,04/16/2003,04/16/2003,A,A,04/16/2003,AVD,09/09/2003,09/09/2003,A,A,09/09/2003,AVD,IF,IF,AVD,0.00,33.00,G/ADP/N/112/CHN,.,Public Notice No.14/2002,Public Notice No.08/2003,0-33,Public Notice No.49/2003,0-33,Public Notice No.86/2004,0016AC2620020315 ,
