"","obsid","leadid","ccode","idacr","leader","startdate","enddate","bornin","died","eindate","eoutdate","entry","exit","exitcode","prevtimesinoffice","posttenurefate","gender","borndate","yrborn","deathdate","yrdied"
"58","CUB-1921","A2.9-172",40,"CUB","Zyas y Alfonso","20/05/1921","20/05/1925","21/9/1861","1934",1921-05-20,1925-05-20,0,1,0,0,0,"M",1861-09-21,1861,NA,1934
"59","CUB-1925","A2.9-175",40,"CUB","Machado Morales","20/05/1925","12/08/1933","28/9/1871","1939",1925-05-20,1933-08-12,0,3,6,0,1,"M",1871-09-28,1871,NA,1939
"60","CUB-1933-1","A2.9-178",40,"CUB","de Cespedes","12/08/1933","05/09/1933","12/8/1871","1939",1933-08-12,1933-09-05,1,3,6,0,0,"M",1871-08-12,1871,NA,1939
"61","CUB-1933-2","A2.9-181",40,"CUB","Grau San Martin","10/09/1933","15/01/1934","13/9/1882","1969",1933-09-10,1934-01-15,1,3,16,0,1,"M",1882-09-13,1882,NA,1969
"62","CUB-1934-1","A2.9-184",40,"CUB","Hevia","15/01/1934","18/01/1934","1900","1964",1934-01-15,1934-01-18,1,3,16,0,0,"M",NA,1900,NA,1964
"63","CUB-1934-2","A2.9-187",40,"CUB","Mendieta","18/01/1934","12/12/1935","4/11/1873","1960",1934-01-18,1935-12-12,1,1,0,0,0,"M",1873-11-04,1873,NA,1960
"64","CUB-1935","A2.9-190",40,"CUB","Barnet","12/12/1935","20/05/1936","1864","1945",1935-12-12,1936-05-20,0,1,0,0,0,"M",NA,1864,NA,1945
"65","CUB-1936-1","A2.9-193",40,"CUB","Gomez y Arias","20/05/1936","28/12/1936","6/10/1889","1950",1936-05-20,1936-12-28,0,1,0,0,0,"M",1889-10-06,1889,NA,1950
"66","CUB-1936-2","A2.9-196",40,"CUB","Laredo Bru","28/12/1936","10/10/1940","23/4/1875","1946",1936-12-28,1940-10-10,0,1,0,0,0,"M",1875-04-23,1875,NA,1946
"67","CUB-1940","A2.9-199",40,"CUB","Batista","10/10/1940","10/10/1944","16/1/1901","1973",1940-10-10,1944-10-10,0,1,0,0,1,"M",1901-01-16,1901,NA,1973
