"","year","ccode","polity2","democ"
"445",1952,95,-1,1
"446",1952,150,-5,1
"447",1952,135,-2,1
"448",1952,840,5,6
"449",1952,769,5,5
"450",1952,290,-7,0
"451",1952,235,-9,0
"452",1952,731,-7,0
"453",1952,732,-4,1
"454",1952,360,-7,0
"455",1952,560,4,7
"456",1952,92,-6,0
"457",1952,670,-10,0
"458",1952,230,-7,0
"459",1952,780,7,7
"460",1952,380,10,10
"461",1952,225,10,10
"462",1952,652,-7,0
"463",1952,713,-8,0
"464",1952,800,-6,0
"465",1952,640,7,7
"466",1952,200,10,10
"467",1952,165,8,8
"468",1952,2,10,10
"469",1952,364,-9,0
"470",1952,101,-3,1
"471",1952,678,-6,1
"472",1952,345,-7,-88
"473",1953,700,-10,0
"474",1953,339,-9,0
"475",1953,160,-9,0
"476",1953,900,10,10
"477",1953,305,10,10
"478",1953,211,10,10
"479",1953,760,-10,0
"480",1953,145,-4,-88
"481",1953,140,5,6
"482",1953,355,-7,0
"483",1953,811,-3,-88
"484",1953,20,10,10
"485",1953,155,2,3
"486",1953,710,-8,0
"487",1953,100,-5,1
"488",1953,94,10,10
"489",1953,40,-3,-88
"490",1953,315,-7,0
"491",1953,390,10,10
"492",1953,42,-9,0
"493",1953,130,2,4
"494",1953,651,-7,0
"495",1953,530,-9,0
"496",1953,375,10,10
"497",1953,220,10,10
"498",1953,265,-8,0
"499",1953,255,10,10
"500",1953,350,4,7
"501",1953,90,2,4
"502",1953,41,-5,0
"503",1953,91,-3,1
"504",1953,310,-7,0
"505",1953,750,9,9
"506",1953,850,0,3
"507",1953,205,10,10
"508",1953,630,-4,-88
"509",1953,645,-4,1
"510",1953,666,10,10
"511",1953,325,10,10
"512",1953,663,-1,3
"513",1953,740,10,10
"514",1953,450,-6,0
"515",1953,660,2,4
"516",1953,620,-7,0
"517",1953,212,10,10
"518",1953,70,-6,0
"519",1953,712,-7,0
"520",1953,775,8,8
"521",1953,790,-7,0
"522",1953,920,10,10
"523",1953,93,-8,0
"524",1953,385,10,10
"525",1953,210,10,10
"526",1953,698,-6,0
"527",1953,95,-1,1
"528",1953,150,-5,1
"529",1953,135,-2,1
"530",1953,840,5,6
"531",1953,769,5,5
"532",1953,290,-7,0
"533",1953,235,-9,0
"534",1953,731,-7,0
"535",1953,732,-4,1
"536",1953,360,-7,0
"537",1953,560,4,7
"538",1953,92,-6,0
"539",1953,670,-10,0
"540",1953,230,-7,0
"541",1953,780,7,7
"542",1953,380,10,10
"543",1953,225,10,10
"544",1953,652,-7,0
"545",1953,713,-8,0
"546",1953,800,-6,0
"547",1953,640,7,7
"548",1953,200,10,10
"549",1953,165,8,8
"550",1953,2,10,10
"551",1953,364,-7,0
"552",1953,101,-3,1
"553",1953,678,-6,1
"554",1953,345,-7,0
"555",1954,700,-10,0
"556",1954,339,-9,0
"557",1954,160,-9,0
"558",1954,900,10,10
"559",1954,305,10,10
"560",1954,211,10,10
"561",1954,760,-10,0
"562",1954,145,-4,-88
"563",1954,140,5,6
"564",1954,355,-7,0
"565",1954,811,-6,-88
"566",1954,20,10,10
"567",1954,155,2,3
"568",1954,710,-8,0
"569",1954,100,-5,1
"570",1954,94,10,10
"571",1954,40,-6,-88
"572",1954,315,-7,0
"573",1954,390,10,10
"574",1954,42,-9,0
"575",1954,816,-9,0
"576",1954,130,2,4
"577",1954,651,-7,0
"578",1954,530,-9,0
"579",1954,375,10,10
"580",1954,220,10,10
"581",1954,265,-8,0
"582",1954,255,10,10
"583",1954,350,4,7
"584",1954,90,-6,0
"585",1954,41,-5,0
"586",1954,91,-3,1
"587",1954,310,-7,0
"588",1954,750,9,9
"589",1954,850,0,3
"590",1954,205,10,10
"591",1954,630,-7,-88
"592",1954,645,-4,1
"593",1954,666,10,10
"594",1954,325,10,10
"595",1954,663,-1,3
"596",1954,740,10,10
"597",1954,812,0,-88
"598",1954,450,-6,0
"599",1954,660,2,4
"600",1954,620,-7,0
"601",1954,212,10,10
"602",1954,70,-6,0
"603",1954,712,-7,0
"604",1954,775,8,8
"605",1954,790,-7,0
"606",1954,920,10,10
"607",1954,93,-8,0
"608",1954,385,10,10
"609",1954,210,10,10
"610",1954,698,-6,0
"611",1954,95,-1,1
"612",1954,150,-9,0
"613",1954,135,-2,1
"614",1954,840,5,6
"615",1954,769,5,5
"616",1954,290,-7,0
"617",1954,235,-9,0
"618",1954,731,-7,0
"619",1954,732,-4,1
"620",1954,360,-7,0
"621",1954,560,4,7
"622",1954,92,-6,0
"623",1954,670,-10,0
"624",1954,230,-7,0
"625",1954,780,7,7
"626",1954,380,10,10
"627",1954,225,10,10
"628",1954,652,7,7
"629",1954,713,-8,0
"630",1954,800,-6,0
"631",1954,640,4,5
"632",1954,200,10,10
"633",1954,165,8,8
"634",1954,2,10,10
"635",1954,364,-7,0
"636",1954,101,-3,1
"637",1954,678,-6,1
"638",1954,345,-7,0
"639",1955,700,-10,0
"640",1955,339,-9,0
"641",1955,160,-6,-88
"642",1955,900,10,10
"643",1955,305,10,10
"644",1955,211,10,10
"645",1955,760,-10,0
"646",1955,145,-4,-88
"647",1955,140,5,6
"648",1955,355,-7,0
"649",1955,811,-9,0
"650",1955,20,10,10
"651",1955,155,5,5
"652",1955,710,-8,0
"653",1955,100,-5,1
"654",1955,94,10,10
"655",1955,40,-9,0
"656",1955,315,-7,0
"657",1955,390,10,10
"658",1955,42,-9,0
"659",1955,816,-9,0
"660",1955,130,2,4
"661",1955,651,-7,0
"662",1955,530,-9,0
"663",1955,375,10,10
"664",1955,220,10,10
"665",1955,265,-8,0
"666",1955,255,10,10
"667",1955,350,4,7
"668",1955,90,-6,0
"669",1955,41,-5,0
"670",1955,91,-3,1
"671",1955,310,-7,0
"672",1955,750,9,9
"673",1955,850,0,3
"674",1955,205,10,10
