cyear,ccode,scode,country,year,flag,fragment,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prior,emonth,eday,eyear,eprec,interim,bmonth,bday,byear,bprec,post,change,d4,sf,regtrans
5301947,530,ETH,Ethiopia,1947,0,,0,9,-9,-9,1,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
3751947,375,FIN,Finland,1947,0,,10,0,10,10,3,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2201947,220,FRN,France,1947,0,,10,0,10,10,1,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2651947,265,GDR,Germany East,1947,0,,-66,-66,-66,,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,,,,,,-66,,,,,,-66,,,-66
2601947,260,GFR,Germany West,1947,0,,-66,-66,-66,,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,,,,,,-66,,,,,,-66,,,-66
3501947,350,GRC,Greece,1947,0,,8,0,8,8,3,3,3,4,7,2,3,8,7,7,,,,,,,,,,,,,,,
901947,90,GUA,Guatemala,1947,0,,6,1,5,5,3,3,3,4,3,5,5,8,3,10,,,,,,,,,,,,,,,
411947,41,HAI,Haiti,1947,0,,-88,-88,-88,-2,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,,,,,,-88,,,,,,0,,,-1
911947,91,HON,Honduras,1947,0,,1,4,-3,-3,11,2,1,4,3,3,3,3,3,6,,,,,,,,,,,,,,,
3101947,310,HUN,Hungary,1947,0,,-88,-88,-88,-6,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,,,,,,-88,,,,,,0,,,-2
8501947,850,INS,Indonesia,1947,0,,4,2,2,2,0,2,1,4,7,1,0,3,7,4,,,,,,2,,,,,,0,,,3
2051947,205,IRE,Ireland,1947,0,,8,0,8,8,26,3,3,4,7,2,3,8,7,7,,,,,,,,,,,,,,,
6301947,630,IRN,Iran,1947,0,,3,4,-1,-1,6,3,1,2,5,3,3,2,5,6,,,,,,,,,,,,,,,
6451947,645,IRQ,Iraq,1947,0,,1,5,-4,-4,23,3,1,2,3,3,3,2,3,6,,,,,,,,,,,,,,,
3251947,325,ITA,Italy,1947,0,,-88,-88,-88,8,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,,,,,,-88,,,,,,0,,,3
6631947,663,JOR,Jordan,1947,0,,0,10,-10,-10,1,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
7401947,740,JPN,Japan,1947,0,,-66,-66,-66,,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,,,,,,-66,,,,,,-66,,,-66
4501947,450,LBR,Liberia,1947,0,,0,6,-6,-6,63,2,1,4,3,4,2,3,3,2,,,,,,,,,,,,,,,
6601947,660,LEB,Lebanon,1947,0,,4,2,2,2,4,3,3,4,3,3,3,8,3,6,,,,,,,,,,,,,,,
2121947,212,LUX,Luxembourg,1947,,,10,0,10,10,2,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
701947,70,MEX,Mexico,1947,0,,0,6,-6,-6,17,2,1,4,3,4,2,3,3,2,,,,,,,,,,,,,,,
7121947,712,MON,Mongolia,1947,0,,0,9,-9,-9,23,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
7901947,790,NEP,Nepal,1947,0,,0,5,-5,-5,101,1,0,0,1,3,2,4,1,3,-3,6,15,1947,3,,6,16,1947,3,-5,-2,1,,0
9201947,920,NEW,New Zealand,1947,0,,10,0,10,10,70,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
